model_id,provider,open,url,release_date,size,input_cost,output_cost,display_name,is_reasoning,is_vision
gpt-4-0613,OpenAI,False,https://platform.openai.com/docs/models/gpt-4,06/2024,,30.0,60.0,GPT-4,False,False
gpt-4o-mini-2024-07-18,OpenAI,False,https://platform.openai.com/docs/models/gpt-4o-mini,07/2024,,0.15,0.6,GPT-4o Mini,False,True
gpt-4o-2024-08-06,OpenAI,False,https://platform.openai.com/docs/models/gpt-4o,08/2024,,2.5,10.0,GPT-4o,False,True
gpt-4-turbo-2024-04-09,OpenAI,False,https://platform.openai.com/docs/models/gpt-4-turbo,04/2024,,10.0,30.0,GPT-4 Turbo,False,False
gpt-3.5-turbo-0125,OpenAI,False,https://platform.openai.com/docs/models/gpt-3.5-turbo,01/2024,,0.5,1.5,GPT-3.5 Turbo,False,False
o1-preview-2024-09-12,OpenAI,False,https://platform.openai.com/docs/models/o1,09/2024,,15.0,60.0,o1-Preview,True,False
o1-mini-2024-09-12,OpenAI,False,https://platform.openai.com/docs/models/o1-mini,09/2024,,1.1,4.4,o1-Mini,True,False
o3-mini-medium,OpenAI,False,https://platform.openai.com/docs/models/o3-mini,01/2025,,1.1,4.4,o3-Mini,True,True
gpt-4.5-preview,OpenAI,False,https://platform.openai.com/docs/models/gpt-4-5-preview,02/2025,,75.0,150.0,GPT-4.5 Preview,False,True
o1-2024-12-17,OpenAI,False,https://platform.openai.com/docs/models/o1,12/2024,,15.0,60.0,o1-Medium,True,False
gpt-4.5-preview-2025-02-27,OpenAI,False,https://platform.openai.com/docs/models/gpt-4.5-preview,02/2025,,75.0,150.0,GPT-4.5 Preview,False,True
o1-high,OpenAI,False,https://platform.openai.com/docs/models/o1,12/2024,,15.0,60.0,o1-High,True,False
gpt-4.1-nano,OpenAI,False,https://platform.openai.com/docs/models/gpt-4.1-nano,04/2025,,0.1,0.4,GPT-4.1 Nano,False,False
gpt-4.1-mini,OpenAI,False,https://platform.openai.com/docs/models/gpt-4.1-mini,04/2025,,0.4,1.6,GPT-4.1 Mini,False,False
gpt-4.1,OpenAI,False,https://platform.openai.com/docs/models/gpt-4.1,04/2025,,2.0,8.0,GPT-4.1,False,False
o3-2025-04-16,OpenAI,False,https://platform.openai.com/docs/models/o3,04/2025,,2.0,8.0,o3,True,True
o4-mini-2025-04-16,OpenAI,False,https://platform.openai.com/docs/models/o4-mini,04/2025,,1.10,4.40,o4-Mini,True,True
fw-gpt-oss-20b,OpenAI,True,https://huggingface.co/openai/gpt-oss-20b,08/2025,20000000000.0,0.07,0.3,gpt-oss 20B,False,False
fw-gpt-oss-120b,OpenAI,True,https://huggingface.co/openai/gpt-oss-120b,08/2025,120000000000.0,0.15,0.6,gpt-oss 120B,False,False
gpt-5-2025-08-07-low,OpenAI,False,https://platform.openai.com/docs/models/gpt-5,08/2025,,1.25,10.0,GPT-5 (Low),True,True
gpt-5-mini-2025-08-07-low,OpenAI,False,https://platform.openai.com/docs/models/gpt-5-mini,08/2025,,0.25,2.0,GPT-5 Mini (Low),True,True
gpt-5-nano-2025-08-07-low,OpenAI,False,https://platform.openai.com/docs/models/gpt-5-nano,08/2025,,0.05,0.4,GPT-5 Nano (Low),True,True
